Molecule Name,Smiles,Euclidean Distance,Permeability Value,Diameter
Isomaltose,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,2.4466379,0.510054035,10.36
Hypoxanthine,OC1=NC=NC2=C1NC=N2,2.4699388,2.246929891,6.47
Aldosterone,C[C@]12CCC(=O)C=C1CCC1C2[C@@H](O)C[C@@]2(C=O)C1CC[C@@H]2C(=O)CO,2.4831994,13.62751424,13.02
Adenosine,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,2.4901094,0.429072743,10.89
Leu-Leu-Tyr,CC(C)C[C@H](N=C(O)[C@@H](N)CC(C)C)C(O)=N[C@@H](CC1=CC=C(O)C=C1)C(=O)O,2.4935303,0.680990797,16.14
atrazine,CCN=C1N=C(Cl)NC(=NC(C)C)N1,2.5075102,10.93701273,10.25
3-Methylhistidine,CN1C=NC=C1C[C@H](N)C(=O)O,2.52558,5.644372106,6.57
D-Maltose,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,2.5563693,0.510054035,10.68
"Fructose 1,6-bisphosphate",O=P(O)(O)OC[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,2.5820167,0.266720378,8.52
Purine,C1=NC2=C(C=N1)NC=N2,2.5910463,9.340959787,6.47
Glycocholic acid,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,2.5937207,2.839206159,18.06
Diaminopimelic acid,N[C@@H](CCC[C@H](N)C(=O)O)C(=O)O,2.5962603,0.464784075,9.31
5-Methoxytryptophan,COC1=CC2=C(C=C1)NC=C2C[C@H](N)C(=O)O,2.6086583,7.47833401,9.85
Fosfomycin,C[C@@H]1O[C@@H]1P(=O)(O)O,2.6203988,10.23553088,5.73
16:0 Cholesteryl ester,CCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@@H]32)C1,2.6249504,1.670972444,23.67
Glycyl-Arginine,N=C(N)NCCCC(N=C(O)CN)C(=O)O,2.6594026,0.492570689,13.34
Cycloserine,N[C@@H]1CON=C1O,2.6838887,7.349449396,5.16
Ergocalciferol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12,2.6918416,8.689426631,18.25
Biotin,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,2.7015133,8.474263549,10.43
N-Methyltryptamine,CNCCC1=CNC2=CC=CC=C12,2.727278,15.82439244,9.49
Cytidine monophosphate,NC1=NC(=O)N([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)C=C1,2.737272,0.783362426,12.66
L-Cystathionine,N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)O,2.7450764,0.319922366,10.58
Arginyl-Cysteine,N=C(N)NCCCC(N)C(O)=NC(CS)C(=O)O,2.7676675,0.623481162,11.58
Monosialoganglioside GM2,CCCCCCCCCCCCC/C=C/[C@H](O)[C@@H](CO[C@@H]1O[C@@H](CO)[C@H](O[C@H]2O[C@@H](CO)[C@@H](O[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3N=C(C)O)[C@@H](OC[C@@]3(C(=O)O)C[C@@H](O)[C@H](N=C(C)O)[C@@H]([C@@H](O)[C@@H](O)CO)O3)[C@@H]2O)[C@@H](O)[C@@H]1O)N=C(O)CCCCCCCCCCCCCCCCC,2.8037448,2.188429423,22.27
Alpha-Lactose,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,2.8195353,0.510054035,10.68
Glucose 6-phosphate,O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,2.8424861,0.556949386,9.18
Isoquinoline,C1=CC=C2C=NC=CC2=C1,2.8541348,59.4774425,7.15
Glutaminyllysine,N=C(O)CC[C@H](N)C(O)=N[C@@H](CCCCN)C(=O)O,2.886429,0.391868642,11.5
Adenosine monophosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)C2=NC=N1,2.9417708,0.991332438,12.59
"24,25-Dihydroxyvitamin D",C=C1CC[C@@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCC(O)C(C)(C)O)CC[C@@H]12,2.9479938,4.556181282,17.62
beta-Lactose,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,2.987269,0.510054035,9.73
L-Histidinol,N[C@H](CO)CC1=CN=CN1,2.9873452,4.977324605,7.52
1-Methylguanosine,CN1C(N)=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=O,2.9911587,1.071645878,11.92
